CustomerProductId|ProductId|Quantity|CustomerId|DateCreated|UserId
1|1|1|2214|2020-08-27 16:29:16.837000000|
4|1|1|1049|2020-08-27 16:29:16.837000000|
5|1|1|1049|2020-08-27 16:29:16.837000000|
11|1|1|1895|2020-08-27 16:29:16.837000000|
12|1|1|1895|2020-08-27 16:29:16.837000000|
13|1|1|1895|2020-08-27 16:29:16.837000000|
17|1|1|2258|2020-08-27 16:29:16.837000000|
27|1|1|2272|2020-08-27 16:29:16.837000000|
28|1|1|2272|2020-08-27 16:29:16.837000000|
42|1|1|2282|2020-08-27 16:29:16.837000000|
43|1|1|2282|2020-08-27 16:29:16.837000000|
56|1|1|2292|2020-08-27 16:29:16.837000000|
57|1|1|2292|2020-08-27 16:29:16.837000000|
58|1|1|2293|2020-08-27 16:29:16.837000000|
59|1|1|2293|2020-08-27 16:29:16.837000000|
71|1|1|2296|2020-08-27 16:29:16.837000000|
72|1|1|2296|2020-08-27 16:29:16.837000000|
76|1|1|2300|2020-08-27 16:29:16.837000000|
85|1|1|2304|2020-08-27 16:29:16.837000000|
86|1|1|2311|2020-08-27 16:29:16.837000000|
90|1|1|2316|2020-08-27 16:29:16.837000000|
91|1|1|2316|2020-08-27 16:29:16.837000000|
112|1|1|576|2020-08-27 16:29:16.837000000|
113|1|1|2335|2020-08-27 16:29:16.837000000|
114|1|1|2335|2020-08-27 16:29:16.837000000|
115|1|1|2344|2020-08-27 16:29:16.837000000|
116|1|1|2345|2020-08-27 16:29:16.837000000|
117|1|1|2004|2020-08-27 16:29:16.837000000|
118|1|1|2004|2020-08-27 16:29:16.837000000|
124|1|1|2170|2020-08-27 16:29:16.837000000|
125|1|1|2170|2020-08-27 16:29:16.837000000|
139|1|1|2362|2020-08-27 16:29:16.837000000|
141|1|1|2365|2020-08-27 16:29:16.837000000|
142|1|1|2365|2020-08-27 16:29:16.837000000|
157|1|1|2380|2020-08-27 16:29:16.837000000|
158|1|1|2380|2020-08-27 16:29:16.837000000|
159|1|1|2380|2020-08-27 16:29:16.837000000|
160|1|1|2386|2020-08-27 16:29:16.837000000|
168|1|1|1821|2020-08-27 16:29:16.837000000|
169|1|1|1821|2020-08-27 16:29:16.837000000|
170|1|1|2398|2020-08-27 16:29:16.837000000|
173|1|1|2402|2020-08-27 16:29:16.837000000|
188|1|1|1793|2020-08-27 16:29:16.837000000|
189|1|1|1793|2020-08-27 16:29:16.837000000|
191|1|1|2422|2020-08-27 16:29:16.837000000|
192|1|1|2422|2020-08-27 16:29:16.837000000|
197|1|1|1400|2020-08-27 16:29:16.837000000|
198|1|1|1400|2020-08-27 16:29:16.837000000|
205|1|1|2435|2020-08-27 16:29:16.837000000|
208|1|1|2443|2020-08-27 16:29:16.837000000|
211|1|1|2443|2020-08-27 16:29:16.837000000|
212|1|1|2443|2020-08-27 16:29:16.837000000|
220|1|1|2448|2020-08-27 16:29:16.837000000|
221|1|1|2448|2020-08-27 16:29:16.837000000|
232|1|1|2464|2020-08-27 16:29:16.837000000|
233|1|1|2457|2020-08-27 16:29:16.837000000|
242|1|1|1541|2020-08-27 16:29:16.837000000|
243|1|1|1541|2020-08-27 16:29:16.837000000|
256|1|1|2479|2020-08-27 16:29:16.837000000|
267|1|1|2437|2020-08-27 16:29:16.837000000|
291|1|1|2517|2020-08-27 16:29:16.837000000|
292|1|1|2517|2020-08-27 16:29:16.837000000|
317|1|1|2543|2020-08-27 16:29:16.837000000|
324|1|1|2548|2020-08-27 16:29:16.837000000|
333|1|1|2559|2020-08-27 16:29:16.837000000|
