PartyId|RegistrationDate|Wage|JobDescription|DateCreated|IsCanApproveCustomerLicense|RepositoryURL|IsCanAddOrRemoveCustomerProducts
1|2019-02-20 00:00:00|.00||2019-02-20 16:35:44.003000000|False||True
2105|2022-06-30 12:33:09.743000000|.00||2019-02-22 12:43:05.253000000|False||False
2138|2021-04-28 10:27:11.463000000|.00||2019-03-07 17:17:22.337000000|False||True
2139|2019-11-25 11:20:55.853000000|.00||2019-03-07 17:17:53.480000000|False||True
2140|2021-04-28 10:27:29.410000000|.00||2019-03-07 17:18:19.960000000|False||True
2141|2019-06-21 14:33:22.803000000|.00||2019-03-07 17:18:35.230000000|False||True
2142|2019-03-27 11:20:43.617000000|.00||2019-03-07 17:18:57.260000000|False||True
2143|2019-03-27 11:20:07.707000000|.00||2019-03-07 17:19:09.500000000|False||True
2144|2021-04-28 10:28:02.423000000|.00||2019-03-07 17:19:31.423000000|False||True
2146|2019-03-26 09:51:58.013000000|.00||2019-03-26 09:51:44.243000000|False||True
2147|2022-07-05 10:58:44.827000000|.00||2019-03-26 15:38:03.673000000|True|https://www.notion.so/nucleoit/f8b3a18f768049a1b98d73a46ec29e4c?v=e64434533aa147d1b3c958cc18849e9c|False
2191|2022-07-05 10:58:52.073000000|.00||2019-03-26 18:23:45.843000000|True|https://www.notion.so/nucleoit/f8b3a18f768049a1b98d73a46ec29e4c?v=e64434533aa147d1b3c958cc18849e9c|False
2192|2019-04-08 13:28:05.523000000|.00||2019-03-26 18:25:46.370000000|False||True
2194|2019-07-26 11:25:37.973000000|.00||2019-03-27 11:46:04.800000000|False||True
2198|2021-04-28 10:28:22.663000000|.00||2019-03-27 16:44:54.203000000|False||True
2202|2019-11-25 11:21:26.193000000|.00||2019-03-28 18:21:55.457000000|False||True
2203|2021-04-28 10:28:35.660000000|.00||2019-03-28 18:23:19.243000000|False||True
2205|2019-03-30 12:32:47.877000000|.00||2019-03-30 12:32:47.890000000|False||True
2211|2021-06-22 16:41:15.910000000|.00||2019-04-03 16:43:15.853000000|False||True
2213|2022-08-04 22:14:27.087000000|.00||2019-04-04 10:45:59.640000000|False||True
2220|2021-04-28 10:29:06.173000000|.00||2019-04-08 15:00:16.923000000|False||True
2239|2021-02-23 14:30:04.210000000|.00||2019-04-22 13:30:08.073000000|True||True
2270|2022-07-05 10:59:02.500000000|.00||2019-05-20 15:25:30.183000000|True|https://www.notion.so/nucleoit/f8b3a18f768049a1b98d73a46ec29e4c?v=e64434533aa147d1b3c958cc18849e9c|False
2415|2021-04-28 10:29:30.863000000|.00||2019-09-02 16:09:34.153000000|False||True
2460|2022-07-05 10:59:09.160000000|.00||2019-10-07 09:07:26.190000000|True|https://www.notion.so/nucleoit/f8b3a18f768049a1b98d73a46ec29e4c?v=e64434533aa147d1b3c958cc18849e9c|False
2461|2019-10-07 10:29:39.317000000|.00||2019-10-07 10:29:39.310000000|False||True
2526|2021-05-06 17:42:08.400000000|.00||2019-11-19 12:18:57.723000000|False||True
2547|2021-05-17 14:49:09.993000000|.00||2019-12-03 10:28:46.880000000|True||True
2711|2020-05-01 11:01:05.690000000|.00||2020-03-12 14:21:15.103000000|False||True
2713|2020-05-01 11:00:49.263000000|.00||2020-03-13 11:03:36.300000000|False||True
2747|2020-06-17 16:07:34.013000000|.00||2020-04-27 11:16:56.030000000|False||True
2886|2020-07-17 10:00:59.693000000|.00||2020-07-17 10:00:59.700000000|False||True
6267|2021-08-18 15:18:36.787000000|.00||2020-11-12 20:12:11.610000000|True||True
6456|2022-07-05 10:59:18.237000000|.00||2021-01-11 11:21:48.577000000|True|https://www.notion.so/nucleoit/f8b3a18f768049a1b98d73a46ec29e4c?v=e64434533aa147d1b3c958cc18849e9c|False
6475|2021-04-28 10:30:48.280000000|.00||2021-01-18 15:36:20.093000000|False||True
6476|2021-04-28 10:31:02.400000000|.00||2021-01-18 15:37:02.700000000|False||True
6647|2021-03-22 10:22:07.550000000|.00||2021-03-22 10:22:07.560000000|False||True
6699|2021-05-17 16:15:54.357000000|.00||2021-04-06 17:49:26.360000000|False||True
6700|2022-05-24 19:21:53.827000000|.00||2021-04-06 18:21:36.067000000|False||True
8153|2021-08-30 11:12:45.477000000|.00||2021-08-30 11:12:45.490000000|False||True
8154|2021-08-30 11:13:36.187000000|.00||2021-08-30 11:13:36.187000000|False||True
8351|2021-10-14 10:31:40.420000000|.00||2021-10-14 10:31:40.433000000|False||True
8352|2021-10-14 10:32:12.867000000|.00||2021-10-14 10:32:12.863000000|False||True
8356|2021-10-14 11:09:42.750000000|.00||2021-10-14 11:09:42.763000000|False||True
8462|2021-11-08 12:18:08.973000000|.00||2021-11-08 12:18:08.987000000|False||True
11585|2022-06-28 14:42:12.173000000|.00||2021-12-06 21:15:06.803000000|False||True
11691|2022-01-03 11:44:22.550000000|.00||2022-01-03 11:44:22.563000000|False||True
11693|2022-09-06 13:09:10.883000000|.00||2022-01-04 14:00:19.577000000|False||True
11933|2022-03-18 15:27:26.573000000|.00||2022-03-18 15:27:26.590000000|False||True
11993|2022-04-01 11:57:54.817000000|.00||2022-04-01 11:57:54.830000000|False||True
